Capital	Latitude	Longitude,	Country
Pretoria	-25.75	28.2	South Africa
Pyongyang	39	125.78	North Korea
Quito	-0.23	-78.5	Ecuador
Rabat	34.03	-6.85	Marocco
Ragoon	16.78	96.16	Myanmar
Reykjavík	64.15	-21.96	Iceland
Riga	56.88	24.13	Latvia
Riyadh	24.65	46.76	Saudi-Arabia
Road Town	18.46	-64.65	British Virgin Island
Rome	41.88	12.5	Italy
Roseau	15.3	-61.38	Dominica
Oranjestad	12.51	-70.03	Aruba
Ouagadougou	12.33	-1.66	Burkina Faso
Saint-Denise	-20.86	55.45	Reunion
Saint Helier	49.2	-2.11	Jersey
Saint George's	12.06	61.73	Grenada
Saint Peter Port	49.45	-2.53	Guernsey
Saint-Pierre	46.76	-56.18	Saint-Pierre and Miquelon
San Juan	18.48	-66.13	Puerto Rico
San José	9.93	-84.08	Costa Rica
San Marino	43.93	12.43	San Marino
San Salvador	13.66	-89.16	El Salvador
Sanaa	15.4	44.23	Yemen
Santiago	-33.45	-70.67	Chile
Santo Domingo	18.46	-69.9	Dominican Republic
Sao Tome	0.31	6.71	Sao Tome and Principe
Sarajevo	43.85	18.38	Bosnia Herzegowina
Seoul	37.53	127	South Korea
Singapore	1.28	103.85	Singapore
Skopje	42	21.46	Macedonia
Stanley	-51.75	-57.93	Falnkland Islands
Stockholm	59.33	18.08	Sweden
Suva	-18.13	178.41	Fiji Islands
Sofia	42.66	23.3	Bulgaria
T'bilisi	41.71	44.81	Georgia
Taipei	25.01	121.36	Taiwan
Tallinn	59.43	24.71	Estonia
Tarawa	1.5	173	Kiribati
Tashkent	41.26	69.21	Uzbekistan
Tegucigalpa	14.08	-87.23	Honduras
Teheran	35.67	51.43	Iran
Thimphu	27.53	89.71	Bhutan
The Valley	18.21	-63.05	Anguilla
Tórshavn	62.01	-6.76	Faroe Islands
Tokyo	35.75	139.5	Japan
Tripoli	32.9	13.18	Libya
Tunis	36.83	10.21	Tunesia
Ulaanbaatar	47.9	106.86	Mongolia
Vaduz	47.13	9.53	Liechtenstein
Valetta	35.9	14.53	Malta
Victoria	-4.63	55.46	Seychelle
Vienna	48.2	16.36	Austria
Vientiane	17.96	102.6	Laos
Vilnius	54.68	25.31	Lithuania
Wellington	-41.28	174.78	New Zealand
West Island	-12.16	96.81	Cocos Islands
Warsaw	52.25	21	Poland
Willemstad	12.2	-68.93	Netherland Antilles
Windhoek	-22.56	17.1	Namibia
Yaoundé	3.85	11.58	Cameroun
Yamoussoukro	6.81	-5.28	Côte d'Ivoire
Yerevan	40.16	44.51	Armenia
Zagreb	45.8	15.96	Croatia
