University	Latitude	Longitude,	Country
#India	28.67	77.22	India
#Niger	13.53	2.08	Niger
#Cyprus	35.16	33.36	Cyprus
#Muritaniya	18.15	-15.96	Muritaniya
#New Caledonia	-22.26	166.43	New Caledonia
#Tonga	-21.15	-175.23	Tonga
#Norway	59.91	10.75	Norway
#Canada	45.41	-75.71	Canada
#American Samoa	-14.26	-170.71	American Samoa
#Micronesia	6.96	158.21	Micronesia
#Panama	8.95	-79.5	Panama
#French Polynasia	-17.53	-149.56	French Polynasia
#Suriname	5.83	-55.16	Suriname
#France	48.87	2.33	France
#Cambodia	11.55	104.91	Cambodia
#Montserrat	16.73	-62.23	Montserrat
#Montenegro	42.46	19.28	Montenegro
#Haiti	18.55	-72.33	Haiti
#Mauritius	-20.16	57.5	Mauritius
#Papua New Guinea	-9.5	147.11	Papua New Guinea
#Benin	6.48	2.61	Benin
#Trinidad and Tobago	10.63	-61.51	Trinidad and Tobago
#Vanuatu	-17.75	168.3	Vanuatu
#Cape Verde	14.91	-23.51	Cape Verde
#Czech Republic	50.1	14.43	Czech Republic
#South Africa	-25.75	28.2	South Africa
#Ecuador	-0.23	-78.5	Ecuador
#Marocco	34.03	-6.85	Marocco
#Myanmar	16.78	96.16	Myanmar
#Iceland	64.15	-21.96	Iceland
#Latvia	56.88	24.13	Latvia
#Saudi-Arabia	24.65	46.76	Saudi-Arabia
#British Virgin Island	18.46	-64.65	British Virgin Island
#Italy	41.88	12.5	Italy
#Italia	41.88	12.5	Italy
#Dominica	15.3	-61.38	Dominica
#Aruba	12.51	-70.03	Aruba
#Burkina Faso	12.33	-1.66	Burkina Faso
#Reunion	-20.86	55.45	Reunion
#Jersey	49.2	-2.11	Jersey
#Grenada	12.06	61.73	Grenada
#Guernsey	49.45	-2.53	Guernsey
#Saint-Pierre and Miquelon	46.76	-56.18	Saint-Pierre and Miquelon
#Puerto Rico	18.48	-66.13	Puerto Rico
#Costa Rica	9.93	-84.08	Costa Rica
#San Marino	43.93	12.43	San Marino
#El Salvador	13.66	-89.16	El Salvador
#Yemen	15.4	44.23	Yemen
#Chile	-33.45	-70.67	Chile
#Dominican Republic	18.46	-69.9	Dominican Republic
#Sao Tome and Principe	0.31	6.71	Sao Tome and Principe
#Bosnia Herzegowina	43.85	18.38	Bosnia Herzegowina
#North Korea	39	125.78	Korea
#South Korea	37.53	127	Korea
#Korea	39	125.78	Korea
#Singapore	1.28	103.85	Singapore
#Macedonia	42	21.46	Macedonia
#Falnkland Islands	-51.75	-57.93	Falnkland Islands
#Sweden	59.33	18.08	Sweden
#Fiji Islands	-18.13	178.41	Fiji Islands
#Bulgaria	42.66	23.3	Bulgaria
#Georgia	41.71	44.81	Georgia
#Taiwan	25.01	121.36	Taiwan
#Estonia	59.43	24.71	Estonia
#Kiribati	1.5	173	Kiribati
#Uzbekistan	41.26	69.21	Uzbekistan
#Honduras	14.08	-87.23	Honduras
#Iran	35.67	51.43	Iran
#Bhutan	27.53	89.71	Bhutan
